plain_roman,count,diacritics,urdu,devanagari,meter
naa-kaam,2,nā-kām,نا کام,ना-काम,cvbcvc
.zaamin-e,1,ẓāmin-e,ضامنِ,ज़ामिन-ए,cvcscz
((ishq,48,ʿishq,عشق,इश्क़,cscc
;dhuu;n;dhaa,2,ḍhūñḍhā,ڈھونڈھا,ढूंढा,cvncv
sa:t;h-e,1,sat̤ḥ-e,سطحِ,सत्ह-ए,csccz
u;raa,1,uṛā,اڑا,उड़ा,scv
;zarrah,12,żarrah,ذرّہ,ज़र्रा,csccsc<h+wb>
aa))iyo,1,āʾiyo,آئیو,आइयो,vcscv
mutaqaabil,1,mutaqābil,متقابل,मुतक़ाबिल,cscscvcsc
;zarre,4,żarre,ذرّے,ज़र्रे,csccv
tumhaarii,3,tumhārī,تمہاری,तुम्हारी,tumcvcv
kushaayish,1,kushāyish,کشایش,कुशायिश,cscvcsc
ra;xshindah,1,raḳhshindah,رخشندہ,रख़्शिंदा,csccsccsc<h+wb>
jazaa,1,jazā,جزا,जज़ा,cscv
mushkil-e,1,mushkil-e,مشکلِ,मुश्किल-ए,csccscz
junbish-e,3,junbish-e,جنبشِ,जुंबिश-ए,csccscz
rast;xez-andaazah,1,rastḳhez-andāzah,رستخیز اندازہ,रस्त्ख़ेज़-अंदाज़ा,cscccvcbsccvcsc<h+wb>
ul;taa,1,ulṭā,الٹا,उल्टा,sccv
nuq.saan-o-suud,1,nuqṣān-o-sūd,نقصان و سود,नुक़सान‐ओ‐सूद,csccvcocvc
sa;xtii-e,2,saḳhtī-e,سختیِ,सख़्ती-ए,csccv<ii+z>z
guzre,4,guzre,گزرے,गुज़रे,csccv
((ilaaj,2,ʿilāj,علاج,इलाज,cscvc
;xa:t:t-o-;xaal,1,ḳhat̤t̤-o-ḳhāl,خطّ و خال,ख़त्त‐ओ‐ख़ाल,csccocvc
nii;nd,2,nīñd,نیند,नींद,cvnc
nakshaadah,1,nakshādah,نکشادہ,नकशादा,csccvcsc<h+wb>
.sahbaa,3,ṣahbā,صہبا,सहबा,csccv
reshah,3,reshah,ریشہ,रेशा,cvcsc<h+wb>
.sadaf-e,1,ṣadaf-e,صدفِ,सदफ़-ए,cscscz
qadam,18,qadam,قدم,क़दम,cscsc
nagii;n,1,nagīñ,نگیں,नगीं,cscvn
qadar,31,qadar,قدر,क़दर,cscsc
.sariir-e,3,ṣarīr-e,صریرِ,सरीर-ए,cscvcz
zangaar,2,zangār,زنگار,ज़ंगार,csccvc
;xas,10,ḳhas,خس,ख़स,csc
miir,4,mīr,میر,मीर,cvc
samjhe;n,1,samjheñ,سمجھیں,समझें,csccvn
garduu;n,6,gardūñ,گردوں,गर्दूं,csccvn
((ahd,6,ʿahd,عہد,अहद,cscc
nishaan-e,1,nishān-e,نشانِ,निशान-ए,cscvcz
kitne,2,kitne,کتنے,कितने,csccv
ho,296,ho,ہو,हो,cv
sabaq-e,1,sabaq-e,سبقِ,सबक़-ए,cscscz
iimaan,1,īmān,ایمان,ईमान,vcvc
;gariibii,1,ġharībī,غریبی,ग़रीबी,cscvcv
lail;aa,8,lailâ,لیلیٰ,लैला,cvcv
dar-pardah,1,dar-pardah,در پردہ,दर-पर्दा,cscbcsccsc<h+wb>
sailaab,6,sailāb,سیلاب,सैलाब,cvcvc
be-kafan,1,be-kafan,بے کفن,बे-कफ़न,cvbcscsc
nishaa:t-e,3,nishāt̤-e,نشاطِ,निशात-ए,cscvcz
gavaaraa,2,gavārā,گوارا,गवारा,cscvcv
iltimaas-e,3,iltimās-e,التماسِ,इल्तिमास-ए,sccscvcz
rah-guzaar,1,rah-guzār,رہ گزار,रह-गुज़ार,csc<h+wb>bcscvc
aa))inah-saaz,1,āʾinah-sāz,آئنہ ساز,आइना-साज़,vcscsc<h+wb>bcvc
diijiyo,1,dījiyo,دیجیو,दीजियो,cvcscv
diijiye,1,dījiye,دیجیے,दीजिये,cvcscv
re;xtah,1,reḳhtah,ریختہ,रेख़्ता,cvccsc<h+wb>
shikvah-sanj-e,2,shikvah-sanj-e,شکوہ سنجِ,शिक्वा-संज-ए,csccsc<h+wb>bcsccz
i;sbaat,2,iṡbāt,اثبات,इस्बात,sccvc
inti:zaar,13,intiz̤ār,انتظار,इंतिज़ार,sccscvc
chho;ro,1,chhoṛo,چھوڑو,छोड़ो,cvcv
ra.zaamand,1,raẓāmand,رضامند,रज़ामंद,cscvcscc
sove,1,sove,سووے,सोवे,cvcv
inti:zaam,1,intiz̤ām,انتظام,इंतिज़ाम,sccscvc
fai.z,1,faiẓ,فیض,फ़ैज़,cvc
qaraar,3,qarār,قرار,क़रार,cscvc
sharaar,1,sharār,شرار,शरार,cscvc
be-gaanah-e,1,be-gānah-e,بے گانۂ,बे-गाना-ए,cvbcvcscz
;xudaa))ii,1,ḳhudāʾī,خدائی,ख़ुदाई,cscvcv
((iis;aa,2,ʿīsâ,عیسیٰ,ईसा,cvcv
bante,1,bante,بنتے,बनते,csccv
dikhaataa,3,dikhātā,دکھاتا,दिखाता,cscvcv
phire,2,phire,پھرے,फिरे,cscv
sharaab,25,sharāb,شراب,शराब,cscvc
phiro,1,phiro,پھرو,फिरो,cscv
ma:tlaq,1,mat̤laq,مطلق,मत्लक़,csccsc
aa))iinah,23,āʾīnah,آئینہ,आईना,vcvcsc<h+wb>
giraa;n-nishii;n,1,girāñ-nishīñ,گراں نشیں,गिराँ-निशीं,cscvnbcscvn
aabaad-e,1,ābād-e,آبادِ,आबाद-ए,vcvcz
paa-daarii,1,pā-dārī,پا داری,पा-दारी,cvbcvcv
la((l-e,1,laʿl-e,لعلِ,लाल-ए,csccz
dandaa;n,5,dandāñ,دنداں,दंदाँ,csccvn
aahuu,4,āhū,آہو,आहू,vcv
