plain_roman,count,diacritics,urdu,devanagari,meter
sheftagii,1,sheftagī,شیفتگی,शेफ़्तगी,cvccscv
naa-;haq,1,nā-ḥaq,نا حق,ना-हक़,cvbcsc
chhurii,1,chhurī,چھری,छुरी,cscv
sau;np,1,sauñp,سونپ,सौंप,cvnc
mazaa,3,mazā,مزا,मज़ा,cscv
sar-taa-sar,1,sar-tā-sar,سر تا سر,सर-ता-सर,cscbcvbcsc
shiiraazah,2,shīrāzah,شیرازہ,शीराज़ा,cvcvcsc<h+wb>
;hairaanii,1,ḥairānī,حیرانی,हैरानी,cvcvcv
andaaz-e,13,andāz-e,اندازِ,अंदाज़-ए,sccvcz
be-chain,1,be-chain,بے چین,बे-चैन,cvbcvc
mushtamil,1,mushtamil,مشتمل,मुश्तमिल,csccscsc
likh,4,likh,لکھ,लिख,csc
baare,9,bāre,بارے,बारे,cvcv
betaabii,5,betābī,بیتابی,बेताबी,cvcvcv
va.sl,6,vaṣl,وصل,वस्ल,cscc
teshe,2,teshe,تیشے,तेशे,cvcv
shinaa,1,shinā,شنا,शिना,cscv
paimaanah,2,paimānah,پیمانہ,पैमाना,cvcvcsc<h+wb>
;xizaanii-e,1,ḳhizānī-e,خزانیِ,ख़िज़ानी-ए,cscvcv<ii+z>z
cha;rhii,1,chaṛhī,چڑھی,चढ़ी,cscv
aasaa;n,10,āsāñ,آساں,आसाँ,vcvn
paa-andaaz,1,pā-andāz,پا انداز,पा-अंदाज़,cvbsccvc
jitnaa,4,jitnā,جتنا,जितना,csccv
kashash-e,1,kashash-e,کششِ,कशश-ए,cscscz
rago;n,1,ragoñ,رگوں,रगों,cscvn
puujtaa,1,pūjtā,پوجتا,पूजता,cvccv
sabzah-zaar,1,sabzah-zār,سبزہ زار,सब्ज़ा-ज़ार,csccsc<h+wb>bcvc
;xajlat-e,1,ḳhajlat-e,خجلتِ,ख़ज्लत-ए,csccscz
ravish-o-mastii-e,1,ravish-o-mastī-e,روش و مستیِ,रविश‐ओ‐मस्ती-ए,cscscocsccv<ii+z>z
shaah-e,2,shāh-e,شاہِ,शाह-ए,cvcz
ra;hm,6,raḥm,رحم,रहम,cscc
.salaa,1,ṣalā,صلا,सला,cscv
suukh,1,sūkh,سوکھ,सूख,cvc
((u;zr-;xvaah,1,ʿużr-ḳhvāh,عذر خواہ,उज़्र-ख़्वाह,csccbc<;xv>vc<h+wb>
aashuftagii,2,āshuftagī,آشفتگی,आशुफ़्तगी,vcsccscv
hosh,4,hosh,ہوش,होश,cvc
a((maar,1,aʿmār,اعمار,आमार,sccvc
;gayuur,1,ġhayūr,غیور,ग़यूर,cscvc
ubhraa,1,ubhrā,ابھرا,उभ्रा,sccv
halaak-e,2,halāk-e,ہلاکِ,हलाक-ए,cscvcz
bharne,1,bharne,بھرنے,भरने,csccv
;xanjar,6,ḳhanjar,خنجر,ख़ंजर,csccsc
dekhii,3,dekhī,دیکھی,देखी,cvcv
diidaar,10,dīdār,دیدار,दीदार,cvcvc
mizhgaanii,1,mizhgānī,مژگانی,मिझ़गानी,csccvcv
pursish'haa-e,1,pursish'hā-e,پرسشہائے,पुर्सिशहा-ए,csccscbcv<aa+z>z
paataa,3,pātā,پاتا,पाता,cvcv
meraa,39,merā,میرا,मेरा,cvcv
:taraf,5,t̤araf,طرف,तरफ़,cscsc
jaulaan-e,1,jaulān-e,جولانِ,जौलान-ए,cvcvcz
;haq-shinaas,1,ḥaq-shinās,حق شناس,हक़-शिनास,cscbcscvc
buu-e,4,bū-e,بوئے,बू-ए,cvz
be-jaa,3,be-jā,بے جا,बे-जा,cvbcv
subuk-baarii-e,1,subuk-bārī-e,سبک باریِ,सुबुक-बारी-ए,cscscbcvcv<ii+z>z
laalah-kaarii,2,lālah-kārī,لالہ کاری,लाला-कारी,cvcsc<h+wb>bcvcv
paarah'haa-e,1,pārah'hā-e,پارہہائے,पारहहा-ए,cvcsc<h+wb>bcv<aa+z>z
ranjishe;n,1,ranjisheñ,رنجشیں,रंजिशें,csccscvn
majbuurii-o-da((vaa-e,1,majbūrī-o-daʿvā-e,مجبوری و دعوائے,मजबूरी‐ओ‐दावा-ए,csccvcv<ii+o>ocsccv<aa+z>z
navaa-sanjaan-e,1,navā-sanjān-e,نوا سنجانِ,नवा-संजान-ए,cscvbcsccvcz
khe;nchtaa,3,kheñchtā,کھینچتا,खेंचता,cvnccv
bun-e,3,bun-e,بنِ,बुन-ए,cscz
;zaat,1,żāt,ذات,ज़ात,cvc
likhe;nge,2,likheñge,لکھیں گے,लिखेंगे,cscv_e_futncv
gauhar,5,gauhar,گوہر,गौहर,cvcsc
mere,50,mere,میرے,मेरे,cvcv
yihii,13,yihī,یہی,यही,cscv
safaal,1,safāl,سفال,सफ़ाल,cscvc
parii-vash,1,parī-vash,پری وش,परी-वश,cscvbcsc
maze,1,maze,مزے,मज़े,cscv
;hayaa,6,ḥayā,حیا,हया,cscv
raft,1,raft,رفت,रफ़्त,cscc
vafaa-;xvurdagaa;n,1,vafā-ḳhvurdagāñ,وفا خوردگاں,वफ़ा-ख़ुर्दगाँ,cscvbc<;xv>sccscvn
do-dam,1,do-dam,دو دم,दो-दम,cvbcsc
faqa:t,1,faqat̤,فقط,फ़क़त,cscsc
javaab,6,javāb,جواب,जवाब,cscvc
((anaa.sir,1,ʿanāṣir,عناصر,अनासिर,cscvcsc
but,2,but,بت,बुत,csc
chhu;taa,2,chhuṭā,چھٹا,छुटा,cscv
tujh-sii,1,tujh-sī,تجھ سی,तुझ-सी,cscbcv
hastii,28,hastī,ہستی,हस्ती,csccv
aurang-e,1,aurang-e,اورنگِ,औरंग-ए,vcsccz
khil,1,khil,کھل,खिल,csc
kalaam,4,kalām,کلام,कलाम,cscvc
maktuub,3,maktūb,مکتوب,मकतूब,csccvc
;xalvat-e,3,ḳhalvat-e,خلوتِ,ख़ल्वत-ए,csccscz
marnaa,4,marnā,مرنا,मरना,csccv
hal-min-maziid,1,hal-min-mazīd,ہل من مزید,हल-मिन-मज़ीद,cscbcscbcscvc
puuchhii,1,pūchhī,پوچھی,पूछी,cvcv
kunisht,1,kunisht,کنشت,कुनिश्त,cscscc
majlis-furoz-e,1,majlis-furoz-e,مجلس فروزِ,मज्लिस-फ़ुरोज़-ए,csccscbcscvcz
bard-e,1,bard-e,بردِ,बर्द-ए,csccz
nadaadah,2,nadādah,ندادہ,नदादा,cscvcsc<h+wb>
.sirf,2,ṣirf,صرف,सिर्फ़,cscc
pii,2,pī,پی,पी,cv
min-jumlah-e,1,min-jumlah-e,من جملۂ,मिन-जुम्ला-ए,cscbcsccscz
mashrab,1,mashrab,مشرب,मश्रब,csccsc
gunaah,2,gunāh,گناہ,गुनाह,cscvc<h+wb>
jalvah'haa-e,1,jalvah'hā-e,جلوہہائے,जल्वहहा-ए,csccsc<h+wb>bcv<aa+z>z
baal-o-par-e,1,bāl-o-par-e,بال و پرِ,बाल‐ओ‐पर-ए,cvcocscz
anjum-e,1,anjum-e,انجمِ,अंजुम-ए,sccscz
baa:tin,1,bāt̤in,باطن,बातिन,cvcsc
baa:til,1,bāt̤il,باطل,बातिल,cvcsc
yak-sar,1,yak-sar,یک سر,यक-सर,cscbcsc
le;n,2,leñ,لیں,लें,cvn
baaz-gasht,1,bāz-gasht,باز گشت,बाज़-गश्त,cvcbcscc
kiije,17,kīje,کیجے,कीजे,cvcv
vagarnah,12,vagarnah,وگرنہ,वगर्ना,cscsccsc<h+wb>
haul-e,1,haul-e,ہولِ,हौल-ए,cvcz
hathka;n;de,1,hathkañḍe,ہتھکنڈے,हथ्कंडे,csccsncv
do-((aalam,7,do-ʿālam,دو عالم,दो-आलम,cvbcvcsc
;xo,1,ḳho,خو,ख़ो,cv
chhalle,1,chhalle,چھلے,छल्ले,csccv
rahe;n,5,raheñ,رہیں,रहें,cscvn
qulzum-e,3,qulzum-e,قلزمِ,क़ुल्ज़ुम-ए,csccscz
shiiraazah-e,1,shīrāzah-e,شیرازۂ,शीराज़ा-ए,cvcvcscz
zuhd,1,zuhd,زہد,ज़ुहद,cscc
ta.sviir-numaa,1,taṣvīr-numā,تصویر نما,तस्वीर-नुमा,csccvcbcscv
nadiim-e,1,nadīm-e,ندیمِ,नदीम-ए,cscvcz
shaanah-kash-e,1,shānah-kash-e,شانہ کشِ,शाना-कश-ए,cvcsc<h+wb>bcscz
;xvud-shinaasii,1,ḳhvud-shināsī,خود شناسی,ख़ुद-शिनासी,c<;xv>scbcscvcv
((aajiz,2,ʿājiz,عاجز,आजिज़,cvcsc
angusht,3,angusht,انگشت,अंगुश्त,sccscc
pighlaa,1,pighlā,پگھلا,पिघला,csccv
zanjiir,9,zanjīr,زنجیر,ज़ंजीर,csccvc
barahman,2,barahman,برہمن,बरहमन,cscsccsc
madrasah,1,madrasah,مدرسہ,मद्रसा,csccscsc<h+wb>
saadah-dilii,1,sādah-dilī,سادہ دلی,सादा-दिली,cvcsc<h+wb>bcscv
:taala((-e,4,t̤ālaʿ-e,طالعِ,ताला-ए,cvcscz
naa-saaz-gaarii,1,nā-sāz-gārī,نا ساز گاری,ना-साज़-गारी,cvbcvcbcvcv
ma;hruum-e,1,maḥrūm-e,محرومِ,महरूम-ए,csccvcz
((adaavat,2,ʿadāvat,عداوت,अदावत,cscvcsc
karuu;ngaa,1,karūñgā,کرونگا,करूंगा,cscvncv
be-bahrah,1,be-bahrah,بے بہرہ,बे-बहरा,cvbcsccsc<h+wb>
nuur,1,nūr,نور,नूर,cvc
va.sf-e,1,vaṣf-e,وصفِ,वस्फ़-ए,csccz
pasiinah-tausan-e,1,pasīnah-tausan-e,پسینہ توسنِ,पसीना-तौसन-ए,cscvcsc<h+wb>bcvcscz
mu((ayyan,1,muʿayyan,معیّن,मुअय्यन,cscsccsc
gilah,6,gilah,گلہ,गिलह,cscsc<h+wb>
nikohish,3,nikohish,نکوہش,निकोहिश,cscvcsc
pilaa,2,pilā,پلا,पिला,cscv
shu((lah-e,9,shuʿlah-e,شعلۂ,शुला-ए,csccscz
tajammul,1,tajammul,تجمّل,तजम्मुल,cscsccsc
garebaa;n-chaakii-e,1,garebāñ-chākī-e,گریباں چاکیِ,गरेबाँ-चाकी-ए,cscvcvnbcvcv<ii+z>z
gilaa,5,gilā,گلا,गिला,cscv
u;the,2,uṭhe,اٹھے,उठे,scv
iltihaab,1,iltihāb,التہاب,इल्तिहाब,sccscvc
be-zabaanii,2,be-zabānī,بے زبانی,बे-ज़बानी,cvbcscvcv
;turfah,1,ṭurfah,ٹرفہ,टुर्फ़ा,csccsc<h+wb>
hu))ii,35,huʾī,ہوئی,हुई,cscv
gomago,1,gomago,گومگو,गोमगो,cvcscv
mubaarak,7,mubārak,مبارک,मुबारक,cscvcsc
aa))uu;n,2,āʾūñ,آؤں,आऊँ,vcvn
pahu;nche,1,pahuñche,پہنچے,पहुंचे,pahuncv
minnat-e,5,minnat-e,منّتِ,मिन्नत-ए,csccscz
bijlii,2,bijlī,بجلی,बिजली,csccv
dil-e,36,dil-e,دلِ,दिल-ए,cscz
beruu;n-daadah,1,berūñ-dādah,بیروں دادہ,बेरूँ-दादा,cvcvnbcvcsc<h+wb>
khule,1,khule,کھلے,खुले,cscv
suud,1,sūd,سود,सूद,cvc
sar-gashtagii,1,sar-gashtagī,سر گشتگی,सर-गश्तगी,cscbcsccscv
maatam,1,mātam,ماتم,मातम,cvcsc
ro))uu;n,2,roʾūñ,روؤں,रोऊँ,cvcvn
reshah-davaanii,1,reshah-davānī,ریشہ دوانی,रेशा-दवानी,cvcsc<h+wb>bcscvcv
kotaahii-e,2,kotāhī-e,کوتاہیِ,कोताही-ए,cvcvcv<ii+z>z
naaqi.s-o-kaamil,1,nāqiṣ-o-kāmil,ناقص و کامل,नाक़िस‐ओ‐कामिल,cvcscocvcsc
siikhe,1,sīkhe,سیکھے,सीखे,cvcv
;gam-o-shaadii,1,ġham-o-shādī,غم و شادی,ग़म‐ओ‐शादी,cscocvcv
chhuu;taa,2,chhūṭā,چھوٹا,छूटा,cvcv
iltijaa,2,iltijā,التجا,इल्तिजा,sccscv
jam((a,6,jamʿa,جمع,जमा,csccs
lagtii,2,lagtī,لگتی,लगती,csccv
utne,1,utne,اتنے,उतने,sccv
giraa;n,3,girāñ,گراں,गिराँ,cscvn
koshish-e,1,koshish-e,کوششِ,कोशिश-ए,cvcscz
juu;n,11,jūñ,جوں,जूँ,cvn
suno,2,suno,سنو,सुनो,cscv
:zarf-e,2,z̤arf-e,ظرفِ,ज़र्फ़-ए,csccz
bevafaa,2,bevafā,بیوفا,बेवफ़ा,cvcscv
samajhtaa,2,samajhtā,سمجھتا,समझता,cscsccv
musht-e,3,musht-e,مشتِ,मुश्त-ए,csccz
gum-raahii,1,gum-rāhī,گم راہی,गुम-राही,cscbcvcv
jaa;n-sitaa;n-tar,1,jāñ-sitāñ-tar,جاں ستاں تر,जाँ-सिताँ-तर,cvnbcscvnbcsc
shiguftan-haa,1,shiguftan-hā,شگفتن ہا,शिगुफ़्तन‐हा,cscsccscbcv
zahr-aab-daadah,1,zahr-āb-dādah,زہر آب دادہ,ज़हर-आब-दादा,csccbvcbcvcsc<h+wb>
akbar,1,akbar,اکبر,अक्बर,sccsc
shahiid-e,3,shahīd-e,شہیدِ,शहीद-ए,cscvcz
bharam,1,bharam,بھرم,भरम,cscsc
.sul;h,1,ṣulḥ,صلح,सुल्ह,cscc
junuu;n-jaulaa;n,1,junūñ-jaulāñ,جنوں جولاں,जुनूँ-जौलाँ,cscvnbcvcvn
pairahan,3,pairahan,پیرہن,पैरहन,cvcscsc
va;hshii,3,vaḥshī,وحشی,वहशी,csccv
kul,1,kul,کل,कुल,csc
zindah,1,zindah,زندہ,ज़िंदा,csccsc<h+wb>
maah-e,3,māh-e,ماہِ,माह-ए,cvcz
vaa-bastah-e,1,vā-bastah-e,وا بستۂ,वा-बस्ता-ए,cvbcsccscz
sar-giraanii,1,sar-girānī,سر گرانی,सर-गिरानी,cscbcscvcv
qatl-gah-e,1,qatl-gah-e,قتل گۂ,क़त्ल-गा-ए,csccbcscz
mu;xaalif,1,muḳhālif,مخالف,मुख़ालिफ़,cscvcsc
arzaanii,1,arzānī,ارزانی,अर्ज़ानी,sccvcv
liijo,1,lījo,لیجو,लीजो,cvcv
kaa;te,1,kāṭe,کاٹے,काटे,cvcv
.zauq-e,1,ẓauq-e,ضوقِ,ज़ौक़-ए,cvcz
mu;xta.sar,2,muḳhtaṣar,مختصر,मुख़्तसर,csccscsc
pate,1,pate,پتے,पते,cscv
;xaanah,1,ḳhānah,خانہ,ख़ाना,cvcsc<h+wb>
furo;g-e,6,furoġh-e,فروغِ,फ़ुरोग़-ए,cscvcz
shahinshaah-e,1,shahinshāh-e,شہنشاہِ,शहिंशाह-ए,cscsccvcz
;xas-o-;xaashaak-e,1,ḳhas-o-ḳhāshāk-e,خس و خاشاکِ,ख़स‐ओ‐ख़ाशाक-ए,cscocvcvcz
taar-e,12,tār-e,تارِ,तार-ए,cvcz
tamaam,8,tamām,تمام,तमाम,cscvc
be-dimaa;g-e,2,be-dimāġh-e,بے دماغِ,बे-दिमाग़-ए,cvbcscvcz
lu;taataa,1,luṭātā,لٹاتا,लुटाता,cscvcv
a;hvaal-e,2,aḥvāl-e,احوالِ,अह्वाल-ए,sccvcz
ghabraave;nge,1,ghabrāveñge,گھبراویں گے,घबरावेंगे,csccvcv_e_futncv
iqbaal-e,1,iqbāl-e,اقبالِ,इक़्बाल-ए,sccvcz
karuu;n,15,karūñ,کروں,करूँ,cscvn
jauhar-iijaad-e,1,jauhar-ījād-e,جوہر ایجادِ,जौहर-ईजाद-ए,cvcscbvcvcz
mu((taqid-e,2,muʿtaqid-e,معتقدِ,मुतक़िद-ए,csccscscz
jahaa;n,23,jahāñ,جہاں,जहाँ,cscvn
shumuul,1,shumūl,شمول,शुमूल,cscvc
bah-;zarrah,1,bah-żarrah,بہ ذرّہ,ब-ज़र्रा,csc<h+wb>bcsccsc<h+wb>
berab:tii-e,2,berabt̤ī-e,بیربطیِ,बेरबती-ए,cvcsccv<ii+z>z
rah-numaa,1,rah-numā,رہ نما,रह-नुमा,csc<h+wb>bcscv
su;xan,21,suḳhan,سخن,सुख़न,cscsc
bhii,195,bhī,بھی,भी,cv
:taraavat-e,1,t̤arāvat-e,طراوتِ,तरावत-ए,cscvcscz
ajzaa-e,6,ajzā-e,اجزائے,अज्ज़ा-ए,sccv<aa+z>z
durdii-kash-e,1,durdī-kash-e,دردی کشِ,दुर्दी-कश-ए,csccvbcscz
;haa.sil-e,2,ḥāṣil-e,حاصلِ,हासिल-ए,cvcscz
paimaanah-e,3,paimānah-e,پیمانۂ,पैमाना-ए,cvcvcscz
parhez,1,parhez,پرہیز,परहेज़,csccvc
dekhuu;n,4,dekhūñ,دیکھوں,देखूँ,cvcvn
tadbiir,7,tadbīr,تدبیر,तदबीर,csccvc
bastiyo;n,1,bastiyoñ,بستیوں,बस्तियों,csccscvn
baadah-noshii,1,bādah-noshī,بادہ نوشی,बादा-नोशी,cvcsc<h+wb>bcvcv
muraad-e,1,murād-e,مرادِ,मुराद-ए,cscvcz
dahaan-e,3,dahān-e,دہانِ,दहान-ए,cscvcz
piyaalah-o-saa;gar,1,piyālah-o-sāġhar,پیالہ و ساغر,पियाला‐ओ‐साग़र,cscvcsc<h+wb>ocvcsc
ishaaraa,1,ishārā,اشارا,इशारा,scvcv
;xa:taa,3,ḳhat̤ā,خطا,ख़ता,cscv
shar;h-e,3,sharḥ-e,شرحِ,शर्ह-ए,csccz
zahrah-e,1,zahrah-e,زہرۂ,ज़हरा-ए,csccscz
da((vat-e,3,daʿvat-e,دعوتِ,दावत-ए,csccscz
laqab,1,laqab,لقب,लक़ब,cscsc
bhuuke,1,bhūke,بھوکے,भूके,cvcv
ishaarat,1,ishārat,اشارت,इशारत,scvcsc
;xastagii,2,ḳhastagī,خستگی,ख़स्तगी,csccscv
niilii-faam,1,nīlī-fām,نیلی فام,नीली-फ़ाम,cvcvbcvc
dafn,1,dafn,دفن,दफ़्न,cscc
isti;gnaa-e,1,istiġhnā-e,استغنائے,इस्तिग़ना-ए,sccsccv<aa+z>z
lab-o-dandaa;n,1,lab-o-dandāñ,لب و دنداں,लब‐ओ‐दंदाँ,cscocsccvn
:tuufaanii-e,1,t̤ūfānī-e,طوفانیِ,तूफ़ानी-ए,cvcvcv<ii+z>z
aa;nkhe;n,4,āñkheñ,آنکھیں,आंखें,vncvn
dast-giirii,1,dast-gīrī,دست گیری,दस्त-गीरी,csccbcvcv
sar-angusht-e,1,sar-angusht-e,سر انگشتِ,सर-अंगुश्त-ए,cscbsccsccz
;hikmat,1,ḥikmat,حکمت,हिक्मत,csccsc
bad-mast-e,1,bad-mast-e,بد مستِ,बद-मस्त-ए,cscbcsccz
qaid-e,3,qaid-e,قیدِ,क़ैद-ए,cvcz
chande,1,chande,چندے,चंदे,csccv
bad-zabaa;n,1,bad-zabāñ,بد زباں,बद-ज़बाँ,cscbcscvn
bahaar,23,bahār,بہار,बहार,cscvc
maanind-e,3,mānind-e,مانندِ,मानिंद-ए,cvcsccz
ka;tne,1,kaṭne,کٹنے,कटने,csccv
qudrat-e,1,qudrat-e,قدرتِ,क़ुद्रत-ए,csccscz
majmuu((ah-e,1,majmūʿah-e,مجموعۂ,मजमूअह-ए,csccvcscz
jiite,4,jīte,جیتے,जीते,cvcv
pa;rh,1,paṛh,پڑھ,पढ़,csc
;husn-e,12,ḥusn-e,حسنِ,हुस्न-ए,csccz
batlaa))o,2,batlāʾo,بتلاؤ,बतलाओ,csccvcv
aa))inah-daar,1,āʾinah-dār,آئنہ دار,आइना-दार,vcscsc<h+wb>bcvc
pa;re,7,paṛe,پڑے,पड़े,cscv
dho,3,dho,دھو,धो,cv
kahye,3,kahye,کہیے,कहये,csccv
;garq-e,2,ġharq-e,غرقِ,ग़र्क़-ए,csccz
kahyo,4,kahyo,کہیو,कहयो,csccv
lag,1,lag,لگ,लग,csc
laa,3,lā,لا,ला,cv
lab,10,lab,لب,लब,csc
sar-navisht-e,1,sar-navisht-e,سر نوشتِ,सर-नविश्त-ए,cscbcscsccz
aabalo;n,1,ābaloñ,آبلوں,आबलों,vcscvn
;go:tah,1,ġhot̤ah,غوطہ,ग़ोता,cvcsc<h+wb>
lat,1,lat,لت,लत,csc
badle,3,badle,بدلے,बदले,csccv
taqliid-e,1,taqlīd-e,تقلیدِ,तक़लीद-ए,csccvcz
be-ta;haashaa-raftan-e,1,be-taḥāshā-raftan-e,بے تحاشا رفتنِ,बे-तहाशा-रफ़्तन-ए,cvbcscvcvbcsccscz
rangii;n-navaa))ii,1,rangīñ-navāʾī,رنگیں نوائی,रंगीं-नवाई,csccvnbcscvcv
suruur,1,surūr,سرور,सुरूर,cscvc
;hauslah-e,1,ḥauslah-e,حوسلۂ,हौस्ला-ए,cvccscz
gudaaz-e,2,gudāz-e,گدازِ,गुदाज़-ए,cscvcz
rastaa,1,rastā,رستا,रस्ता,csccv
;xam-e,4,ḳham-e,خمِ,ख़म-ए,cscz
;gaalib,113,ġhālib,غالب,ग़ालिब,cvcsc
i;xtiyaar,2,iḳhtiyār,اختیار,इख़्तियार,sccscvc
yak-dast,1,yak-dast,یک دست,यक-दस्त,cscbcscc
u;the;nge,1,uṭheñge,اٹھیں گے,उठेंगे,scv_e_futncv
namak,11,namak,نمک,नमक,cscsc
((aqd-e,2,ʿaqd-e,عقدِ,अक़्द-ए,csccz
aasaa))ish,1,āsāʾish,آسائش,आसाइश,vcvcsc
((u;zr,2,ʿużr,عذر,उज़्र,cscc
;xuu;n-naab,1,ḳhūñ-nāb,خوں ناب,ख़ूँ-नाब,cvnbcvc
kaisaa,2,kaisā,کیسا,कैसा,cvcv
asmaa-e,1,asmā-e,اسمائے,अस्मा-ए,sccv<aa+z>z
taqriib-juu))ii,1,taqrīb-jūʾī,تقریب جوئی,तक़रीब-जूई,csccvcbcvcv
be-gunah-kush-o-;haq,1,be-gunah-kush-o-ḥaq,بے گنہ کش و حق,बे-गुनह-कुश‐ओ‐हक़,cvbcscsc<h+wb>bcscocsc
shab-o-roz-o-maah-o-saal,1,shab-o-roz-o-māh-o-sāl,شب و روز و ماہ و سال,शब‐ओ‐रोज़‐ओ‐माह‐ओ‐साल,cscocvcocvc<h+wb>ocvc
tamaashaa))ii,2,tamāshāʾī,تماشائی,तमाशाई,cscvcvcv
dandaa;n-numaa,2,dandāñ-numā,دنداں نما,दंदाँ-नुमा,csccvnbcscv
purze,1,purze,پرزے,पुर्ज़े,csccv
;husn-parastii,1,ḥusn-parastī,حسن پرستی,हुस्न-परस्ती,csccbcscsccv
:taraavat,1,t̤arāvat,طراوت,तरावत,cscvcsc
laakho;n,4,lākhoñ,لاکھوں,लाखों,cvcvn
puuchhuu;n,1,pūchhūñ,پوچھوں,पूछूँ,cvcvn
sabzah,5,sabzah,سبزہ,सब्ज़ा,csccsc<h+wb>
idraak,1,idrāk,ادراک,इद्राक,sccvc
do-niim,1,do-nīm,دو نیم,दो-नीम,cvbcvc
kahve;n,1,kahveñ,کہویں,कहवें,csccvn
sach,2,sach,سچ,सच,csc
bane,16,bane,بنے,बने,cscv
band,3,band,بند,बंद,cscc
faanuus,1,fānūs,فانوس,फ़ानूस,cvcvc
afshardah-e,1,afshardah-e,افشردۂ,अफ़्शर्दा-ए,sccsccscz
pursish,3,pursish,پرسش,पुर्सिश,csccsc
kinaare,1,kināre,کنارے,किनारे,cscvcv
sanjaab,1,sanjāb,سنجاب,संजाब,csccvc
;xatm,1,ḳhatm,ختم,ख़त्म,cscc
savaar-e,1,savār-e,سوارِ,सवार-ए,cscvcz
inti:zaar-e,2,intiz̤ār-e,انتظارِ,इंतिज़ार-ए,sccscvcz
ba;ndhe,1,bañdhe,بندھے,बंधे,csncv
dino;n,2,dinoñ,دنوں,दिनों,cscvn
bujhte,1,bujhte,بجھتے,बुझते,csccv
shu((le,3,shuʿle,شعلے,शुले,csccv
nekii,2,nekī,نیکی,नेकी,cvcv
diye,4,diye,دیے,दिये,cscv
qafas-e,2,qafas-e,قفسِ,क़फ़स-ए,cscscz
pursish-e,3,pursish-e,پرسشِ,पुर्सिश-ए,csccscz
ka((bah,3,kaʿbah,کعبہ,काबा,csccsc<h+wb>
nus;xah-e,2,nusḳhah-e,نسخۂ,नुस्ख़ा-ए,csccscz
;zauq-e,26,żauq-e,ذوقِ,ज़ौक़-ए,cvcz
la;z;zat,5,lażżat,لذّت,लज़्ज़त,csccsc
so;xtan,2,soḳhtan,سوختن,सोख़्तन,cvccsc
baa;ndhaa,12,bāñdhā,باندھا,बांधा,cvncv
rahzanii,1,rahzanī,رہزنی,रहज़नी,csccscv
;gaib,2,ġhaib,غیب,ग़ैब,cvc
;zarrah-e,3,żarrah-e,ذرّۂ,ज़र्रा-ए,csccscz
ba;xye,1,baḳhye,بخیے,बख़ये,csccv
jaadah,6,jādah,جادہ,जादा,cvcsc<h+wb>
hogaa,8,hogā,ہوگا,होगा,cvcv
javaahir-e,1,javāhir-e,جواہرِ,जवाहिर-ए,cscvcscz
;gair,38,ġhair,غیر,ग़ैर,cvc
ham-su;xan,3,ham-suḳhan,ہم سخن,हम-सुख़न,cscbcscsc
saadah-dil,1,sādah-dil,سادہ دل,सादा-दिल,cvcsc<h+wb>bcsc
ganjiinah-e,2,ganjīnah-e,گنجینۂ,गंजीना-ए,csccvcscz
gor,2,gor,گور,गोर,cvc
daar-o-rasan,1,dār-o-rasan,دار و رسن,दार‐ओ‐रसन,cvcocscsc
jaaniye,1,jāniye,جانیے,जानिये,cvcscv
durust,2,durust,درست,दुरुस्त,cscscc
;hariif-e,7,ḥarīf-e,حریفِ,हरीफ़-ए,cscvcz
;xudaavand-e,1,ḳhudāvand-e,خداوندِ,ख़ुदावंद-ए,cscvcsccz
ma((aash-e,1,maʿāsh-e,معاشِ,मआश-ए,cscvcz
.sa((nat-e,1,ṣaʿnat-e,صعنتِ,सानत-ए,csccscz
diije,2,dīje,دیجے,दीजे,cvcv
chang-o-rabaab,1,chang-o-rabāb,چنگ و رباب,चंग‐ओ‐रबाब,csccocscvc
bad-gumaa;n,4,bad-gumāñ,بد گماں,बद-गुमाँ,cscbcscvn
hujuum-e,9,hujūm-e,ہجومِ,हुजूम-ए,cscvcz
naa-saazii-e,1,nā-sāzī-e,نا سازیِ,ना-साज़ी-ए,cvbcvcv<ii+z>z
munkar-e,1,munkar-e,منکرِ,मुंकर-ए,csccscz
baadah,8,bādah,بادہ,बादा,cvcsc<h+wb>
bache;n,1,bacheñ,بچیں,बचें,cscvn
rang,30,rang,رنگ,रंग,cscc
kabhii,24,kabhī,کبھی,कभी,cscv
;gaarat-garii,1,ġhārat-garī,غارت گری,ग़ारत-गरी,cvcscbcscv
siflah,1,siflah,سفلہ,सिफ़्ला,csccsc<h+wb>
diivaanagii-e,1,dīvānagī-e,دیوانگیِ,दीवानगी-ए,cvcvcscv<ii+z>z
do-((aalam-dasht,1,do-ʿālam-dasht,دو عالم دشت,दो-आलम-दश्त,cvbcvcscbcscc
;xvaab-e,12,ḳhvāb-e,خوابِ,ख़्वाब-ए,c<;xv>vcz
kaar-gaah-e,1,kār-gāh-e,کار گاہِ,कार-गाह-ए,cvcbcvcz
bhuule,1,bhūle,بھولے,भूले,cvcv
dhamkii,1,dhamkī,دھمکی,धमकी,csccv
;xaanah-viiraanii,3,ḳhānah-vīrānī,خانہ ویرانی,ख़ाना-वीरानी,cvcsc<h+wb>bcvcvcv
dil-barii,1,dil-barī,دل بری,दिल-बरी,cscbcscv
tujhe,12,tujhe,تجھے,तुझे,cscv
:talabgaar-e,1,t̤alabgār-e,طلبگارِ,तलबगार-ए,cscsccvcz
